Edition	#	Target	Seller	Buyer / Investor	Source URL
Feb 14–20, 2026	1	Contact Energy	—	Infratil	https://infratil.com/news/infratil-newsletter-february-2026/infratil-newsletter-february-2026/
Feb 14–20, 2026	2	Utility Global	— (Series D)	Ara Partners / APG Asset Management	https://www.prnewswire.com/news-releases/utility-global-announces-100-million-first-close-of-series-d-financing-to-deploy-its-economic-industrial-decarbonization-platform-globally-302689146.html
Feb 14–20, 2026	3	Duffy BESS Project (235 MWac)	Linea Energy	DESRI	https://www.prnewswire.com/news-releases/desri-and-linea-announce-signing-of-preferred-equity-financing-for-duffy-bess-in-matagorda-county-tx-302691795.html
Feb 14–20, 2026	4	One Power Company	One Power Company	Basalt Infrastructure / OnSite Partners	https://wfin.com/local-news/one-power-company-acquired-by-onsite-partners/
Feb 14–20, 2026	5	Substantial Group (Netomnia)	DigitalBridge, Advencap, Soho Square Capital	nexfibre (InfraVia, Liberty Global, Telefónica)	https://www.libertyglobal.com/liberty-global-substantial-group-nexfibre/
Feb 14–20, 2026	6	ATC Europe	Allianz insurance companies	Commerz Real / Allianz Global Investors	https://irei.com/news/commerz-real-acquires-stake-in-tower-operator-atc-europe/
Feb 14–20, 2026	7	Qube Holdings	Qube Holdings shareholders	Macquarie Asset Management (with UniSuper, Pontegadea)	https://www.macquarie.com/au/en/about/news/2026/macquarie-asset-management-led-consortium-enters-binding-agreement-to-acquire-qube.html
Feb 14–20, 2026	8	Fraport Greece	Marguerite Fund	Blackstone Infrastructure	https://www.marguerite.com/investments/fraport-greece-greece/
Feb 14–20, 2026	9	Kalfresh Bioenergy Facility	— (new investment)	QIC / Wollemi Capital	https://www.kalfresh.com.au/80m-backing-for-paddock-to-power-precinct/
Feb 21–27, 2026	1	Reload	—	Scale Microgrids (EQT Transition Infrastructure)	#
Feb 21–27, 2026	2	Cleanwatts	Verdane	DWS Infrastructure	#
Feb 21–27, 2026	3	Andion CH4 Renewables	—	Equitix	#
Feb 21–27, 2026	4	Cella Dati Biomethane Plant	IREN / Santini Agricoltura Rinnovabile	Andion CH4 Renewables (Equitix)	#
Feb 21–27, 2026	5	HyCC	Macquarie Asset Management / Nobian	Power2X	#
Feb 21–27, 2026	6	83 MW Indian Solar Projects	Hexa Climate Solutions	Digital Edge (Stonepeak)	#
Feb 21–27, 2026	7	atNorth	Partners Group	CPP Investments / Equinix	#
Feb 21–27, 2026	8	Ori Industries	—	Brookfield (Radiant platform)	#
Feb 21–27, 2026	9	Sandy Farms & Eternal Rings Data Centers	Harrison Street	GI Partners	#
Feb 21–27, 2026	10	Skellefte Data Center Site	Lyten	EdgeConneX (EQT)	#
Feb 21–27, 2026	11	Digital Sense	Aussie Broadband	11:11 Systems (Tiger Infrastructure Partners)	#
Feb 21–27, 2026	12	Macquarie AirFinance	Macquarie AM, PGGM, Australian Retirement Trust	Dubai Aerospace Enterprise (DAE)	#
Feb 21–27, 2026	13	Lower Lakes Towing & 6 Canadian Lakers	Mainstay Maritime (Oaktree)	Algoma Central Corporation	#
Feb 21–27, 2026	14	321 Precision Conversions	ATSG (Stonepeak)	Erickson Group Ltd	#
Feb 21–27, 2026	15	DTG Recycle	Macquarie Infrastructure Partners	Dan Guimont (core ops) / Waste Connections (select assets)	#
Feb 28 – Mar 6, 2026	1	AES Corporation	—	GIP & EQT Infrastructure	https://www.prnewswire.com/news-releases/consortium-led-by-global-infrastructure-partners-and-eqt-agrees-to-acquire-aes-302700916.html
Feb 28 – Mar 6, 2026	2	11 German BESS Projects	TotalEnergies	Allianz Global Investors	https://totalenergies.com/news/press-releases/electricity-totalenergies-partners-allianzgi-develop-800-mw-battery-storage
Feb 28 – Mar 6, 2026	3	SK Eternix	SK Discovery / Hahn & Company	KKR	https://www.marketscreener.com/news/kkr-to-acquire-43-5-stake-in-sk-eternix-in-krw348-billion-deal-ce7e5fd8db8ef02d
Feb 28 – Mar 6, 2026	4	50 MW Onshore Wind (Gia Lai, Vietnam)	Super Energy Corporation	Levanta Renewables / Actis	https://www.levantarenewables.com/news/levanta-renewables-acquires-majority-stake-in-operating-onshore-wind-asset-in-vietnam/
Feb 28 – Mar 6, 2026	5	Northview Energy	— (platform launch)	BCI, NBIM & Brookfield	https://www.globenewswire.com/news-release/2026/03/03/3248185/0/en/BCI-Norges-Bank-Investment-Management-and-Brookfield-Partner-to-Launch-Northview-Energy.html
Feb 28 – Mar 6, 2026	6	Calisen	Equitix	HarbourVest Partners	https://equitix.com/news/equitix-welcomes-harbourvest-investment-in-calisen-smart-meters-via-secondary-transaction/
Feb 28 – Mar 6, 2026	7	79.2 MW DG BESS Portfolio	Aggreko (I Squared Capital)	Bimergen Energy	https://www.globenewswire.com/news-release/2026/03/03/3248139/0/en/Bimergen-Energy-Completes-Acquisition-of-79-2-MW-of-Late-Stage-DG-Battery-Energy-Storage-Projects-in-ERCOT-South-from-Aggreko-and-Executes-Simultaneous-Financing.html
Feb 28 – Mar 6, 2026	8	Maaselänkangas Onshore Wind Farm	wpd Group	DWS Infrastructure	https://www.dws.com/en-gb/our-profile/media/media-releases/dws-strengthens-infrastructure-portfolio/
Feb 28 – Mar 6, 2026	9	Gabia Data Centre (hyperscale platform)	— (partnership)	Macquarie Asset Management / Gabia	https://www.macquarie.com/au/en/about/news/2026/macquarie-asset-management-and-gabia-form-strategic-partnership-to-develop-next-generation-hyperscale-data-centre-platform-in-south-korea.html
Feb 28 – Mar 6, 2026	10	Arqiva	Macquarie Asset Management	Polus Capital Management	https://www.broadbandtvnews.com/2026/03/02/polus-to-buy-26-54-stake-in-arqiva-from-macquarie/
Feb 28 – Mar 6, 2026	11	Drogheda Energy Park	— (platform launch)	Greencoat Renewables / Schroders Greencoat	https://esgnews.com/schroders-greencoat-launches-green-digital-infrastructure-platform-with-36mw-irish-data-centre-project/
Feb 28 – Mar 6, 2026	12	Valokuitunen Oy	CapMan Infra	Brookfield Infrastructure / Telia	https://capman.com/2026/03/capman-infra-sells-its-stake-in-finlands-leading-fiber-to-the-home-company-valokuitunen-to-brookfield-infrastructure-structured-solutions-and-telia/
Feb 28 – Mar 6, 2026	13	TCR (airport ground support equipment)	3i Infrastructure	Global Infrastructure Partners	https://www.businesswire.com/news/home/20260305285233/en/Global-Infrastructure-Partners-Agrees-to-Acquire-TCR
Feb 28 – Mar 6, 2026	14	Gosport Ferry	FIH Group plc	Northleaf Capital / Thames Clippers	https://www.bairdmaritime.com/passenger/ferry/uber-boat-parent-firm-picks-up-gosport-ferry-operator-for-148m/
Feb 28 – Mar 6, 2026	15	Aura Holdings	— (platform equity)	Stonepeak	https://stonepeak.com/news/stonepeak-announces-investment-in-aura-holdings
Feb 28 – Mar 6, 2026	16	Naturgy Energy Group	BlackRock (via GIP)	CriteriaCaixa	https://money.usnews.com/investing/news/articles/2026-03-02/blackrock-to-sell-its-11-4-stake-in-spanish-energy-firm-naturgy
Mar 7–13, 2026	1	IATP (Invenergy AMPCI Thermal Power)	InfraBridge (DigitalBridge)	ArcLight Capital Partners	https://www.businesswire.com/news/home/20260311462798/en/ArcLight-to-Acquire-InfraBridges-50-Stake-in-5.4-GW-Power-Portfolio
Mar 7–13, 2026	2	Gate City Power / Renewable Fuels / JET	HF Capital	Ara Energy (Ara Partners)	https://www.prnewswire.com/news-releases/ara-energy-to-acquire-gate-city-power-gate-city-renewable-fuels-and-interest-in-jet-retail-network-for-875-million-302709985.html
Mar 7–13, 2026	3	TAKKION	Apollo Global Management	Siris	https://www.globenewswire.com/news-release/2026/03/09/3251689/0/en/Siris-Agrees-to-Acquire-a-Majority-Stake-in-TAKKION-from-Apollo-Funds.html
Mar 7–13, 2026	4	Steel River Solar & Storage (2.5 GW)	Swift Current Energy	Cypress Creek Renewables (EQT Infrastructure)	https://www.prnewswire.com/news-releases/cypress-creek-acquires-2-5-gw-solar-project-with-2-9-gwh-energy-storage-in-development-in-arkansas-from-swift-current-energy-302711078.html
Mar 7–13, 2026	5	Nighthawk Energy Storage Project	— (financing)	Arevon Energy / Goldman Sachs Alternatives	https://www.prnewswire.com/news-releases/arevon-closes-920-million-in-financing-for-its-1-200-megawatt-hour-nighthawk-energy-storage-project-in-california-302710346.html
Mar 7–13, 2026	6	TPI Composites (wind blade mfg)	TPI Composites	Energy Capital Partners	https://www.sahmcapital.com/news/content/tpi-composites-signs-section-363-sale-deal-with-ecp-blade-holdings-for-usd-20-million-2026-03-09
Mar 7–13, 2026	7	70.4 MWp Brandenburg Solar Park	Trianel	Nuveen Infrastructure	https://renewablesnow.com/news/nuveen-fund-buys-70-4-mwp-german-solar-park-from-trianel-1291047/
Mar 7–13, 2026	8	Maaselänkangas Onshore Wind Farm	wpd Group	DWS Group	https://www.dws.com/en-au/profile/media/media-releases/dws-strengthens-infrastructure-portfolio/
Mar 7–13, 2026	9	Dandelion Energy (geothermal)	— (JV/partnership)	Diverso Energy / CVC DIF	https://www.newswire.ca/news-releases/diverso-energy-and-dandelion-energy-partner-to-accelerate-geothermal-deployment-across-u-s-housing-markets-841957958.html
Mar 7–13, 2026	10	GFiber (Google Fiber)	Google / Alphabet	Stonepeak / Astound Broadband	https://stonepeak.com/news/gfiber-and-stonepeaks-astound-to-combine-creating-a-leading-independent-broadband-provider
Mar 7–13, 2026	11	Lefdal Mine Datacenter	—	3i Infrastructure	https://www.3i-infrastructure.com/newsroom/press-releases/2026/3i-infrastructure-plc-invests-in-lefdal-mine-datacenter/
Mar 7–13, 2026	12	Advanced Cooling Technologies (ACT)	—	Blackstone Energy Transition Partners	https://www.blackstone.com/news/press/blackstone-energy-transition-partners-announces-agreement-to-acquire-majority-stake-in-advanced-cooling-technologies/
Mar 7–13, 2026	13	Arqiva (14.84% stake)	IFM Investors	Polus Capital Management	https://www.investegate.co.uk/announcement/rns/arqiva-financing-plc--20ca/shareholder-transaction-update-/9472750
Mar 7–13, 2026	14	Sierra Railroad Company	—	Ridgewood Infrastructure	http://www.prnewswire.com/news-releases/ridgewood-infrastructure-acquires-sierra-railroad-company-302708445.html
Mar 7–13, 2026	15	Central Valley Ag Transport (CVAT)	—	Sierra Railroad (Ridgewood Infrastructure)	http://www.prnewswire.com/news-releases/ridgewood-infrastructure-acquires-sierra-railroad-company-302708445.html
Mar 7–13, 2026	16	Kelda Holdings (Yorkshire Water, 42%)	DWS Infrastructure / Corsair Capital	EQT Infrastructure & GIC	https://eqtgroup.com/news/eqt-to-invest-in-kelda-holdings-the-parent-company-of-yorkshire-water-2026-03-09
Mar 7–13, 2026	17	Gorgon LNG / Ichthys LNG interests	JERA	MidOcean Energy (EIG Global Energy Partners)	https://www.businesswire.com/news/home/20260311979630/en/EIGs-MidOcean-Energy-to-Acquire-Additional-Gorgon-LNG-Interest-from-JERA-Parties-Explore-Strategic-Alliance
